epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1464,1.12148,1.86926,1.41638,0.69766,0.55469,0.59656,0.37269,1.39659,2.47143,1.75565,0.000471473,0.000471473,0.000471473
2,46.9605,1.26955,1.67954,1.47757,0.31845,0.2843,0.17945,0.08741,2.05578,3.9604,2.29629,0.000936077,0.000936077,0.000936077
3,68.5374,1.38843,1.83935,1.57736,0.25831,0.42298,0.22145,0.0894,2.1187,6.40306,2.38358,0.00138889,0.00138889,0.00138889
4,90.7055,1.3478,1.76304,1.55691,0.44908,0.45999,0.41179,0.21551,1.66967,2.22381,1.93848,0.00137595,0.00137595,0.00137595
5,112.662,1.32253,1.61613,1.52676,0.42375,0.44694,0.40711,0.22029,1.69998,2.49256,1.83903,0.00135826,0.00135826,0.00135826
6,133.856,1.24118,1.52704,1.4721,0.64699,0.56348,0.60317,0.34368,1.65771,1.81773,1.88692,0.00134058,0.00134058,0.00134058
7,155.887,1.21992,1.50303,1.45887,0.65128,0.48712,0.55221,0.31655,1.49302,2.13318,1.75173,0.0013229,0.0013229,0.0013229
8,177.554,1.15921,1.4136,1.42243,0.61559,0.51564,0.57048,0.35189,1.49797,1.83845,1.72555,0.00130521,0.00130521,0.00130521
9,198.676,1.15282,1.36665,1.41212,0.69298,0.68177,0.72787,0.44209,1.39723,1.60656,1.62266,0.00128753,0.00128753,0.00128753
10,220.848,1.11706,1.36383,1.40466,0.83564,0.57737,0.73956,0.48445,1.2609,1.44684,1.47999,0.00126985,0.00126985,0.00126985
11,242.968,1.08018,1.29297,1.36161,0.64706,0.54113,0.60469,0.39259,1.35395,1.91855,1.579,0.00125216,0.00125216,0.00125216
12,264.125,1.06723,1.22305,1.36447,0.84193,0.65208,0.78475,0.51568,1.28778,1.25197,1.54191,0.00123448,0.00123448,0.00123448
13,286.313,1.06525,1.19543,1.34963,0.82995,0.7228,0.81044,0.52828,1.22703,1.26161,1.46092,0.00121679,0.00121679,0.00121679
14,308.194,1.03533,1.17466,1.32677,0.84515,0.698,0.79092,0.54656,1.22926,1.19635,1.46532,0.00119911,0.00119911,0.00119911
15,329.275,1.01122,1.1136,1.31918,0.82406,0.73609,0.81541,0.56495,1.11735,1.14423,1.35828,0.00118143,0.00118143,0.00118143
16,351.107,0.9746,1.09841,1.30384,0.84087,0.69633,0.80501,0.58256,1.09473,1.15908,1.37189,0.00116374,0.00116374,0.00116374
17,372.997,0.96321,1.06157,1.29126,0.81265,0.77834,0.83277,0.57463,1.15315,1.04965,1.40764,0.00114606,0.00114606,0.00114606
18,393.924,0.97365,1.05562,1.28781,0.80936,0.72976,0.81341,0.55016,1.18751,1.15678,1.4655,0.00112837,0.00112837,0.00112837
19,415.763,0.96614,1.04295,1.28304,0.84184,0.75713,0.84508,0.5997,1.13149,1.0539,1.40217,0.00111069,0.00111069,0.00111069
20,437.792,0.95928,1.01678,1.2855,0.81798,0.81032,0.85826,0.59378,1.20186,1.10818,1.41716,0.00109301,0.00109301,0.00109301
21,459.073,0.94103,0.99272,1.26311,0.82071,0.72035,0.8161,0.56974,1.1839,1.24732,1.42682,0.00107532,0.00107532,0.00107532
22,481.388,0.92244,0.96822,1.26265,0.82166,0.76583,0.84901,0.60493,1.124,1.05025,1.38531,0.00105764,0.00105764,0.00105764
23,503.662,0.92298,0.96591,1.25322,0.87817,0.75839,0.85068,0.61503,1.04646,0.99251,1.32794,0.00103995,0.00103995,0.00103995
24,525.749,0.92329,0.93945,1.25936,0.83511,0.69181,0.79157,0.54891,1.20504,1.18184,1.43409,0.00102227,0.00102227,0.00102227
25,547.088,0.90099,0.95044,1.25281,0.8536,0.74128,0.83064,0.59635,1.08324,1.0296,1.3653,0.00100459,0.00100459,0.00100459
26,569.236,0.87934,0.90154,1.23665,0.81329,0.81895,0.86646,0.61272,1.07398,1.06893,1.35297,0.000986903,0.000986903,0.000986903
27,591.331,0.87915,0.90355,1.24277,0.88328,0.77831,0.87207,0.65078,1.03588,0.91242,1.31037,0.000969219,0.000969219,0.000969219
